days_to_election,state,countyfips,gender,age,race,party_affiliation,partisanship,voted_previous_pres,ballots_requested,ballots_returned
15,NE,31055,Female,18-21,Black,Democrat,Total,Total,5,0
15,NE,31055,Female,18-21,Black,No Party Affiliation,Total,Total,2,0
15,NE,31055,Female,18-21,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Female,18-21,Black,Republican,Total,Total,1,0
15,NE,31055,Female,18-21,Caucasian,Democrat,Total,Total,27,0
15,NE,31055,Female,18-21,Caucasian,No Party Affiliation,Total,Total,10,0
15,NE,31055,Female,18-21,Caucasian,Other/Unknown,Total,Total,4,0
15,NE,31055,Female,18-21,Caucasian,Republican,Total,Total,18,0
15,NE,31055,Female,18-21,Hispanic,Democrat,Total,Total,9,0
15,NE,31055,Female,18-21,Hispanic,No Party Affiliation,Total,Total,1,0
15,NE,31055,Female,18-21,Hispanic,Other/Unknown,Total,Total,1,0
15,NE,31055,Female,22-29,Asian,Democrat,Total,Total,1,0
15,NE,31055,Female,22-29,Asian,No Party Affiliation,Total,Total,1,0
15,NE,31055,Female,22-29,Black,Democrat,Total,Total,15,0
15,NE,31055,Female,22-29,Black,No Party Affiliation,Total,Total,5,0
15,NE,31055,Female,22-29,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Female,22-29,Black,Republican,Total,Total,2,0
15,NE,31055,Female,22-29,Caucasian,Democrat,Total,Total,58,0
15,NE,31055,Female,22-29,Caucasian,No Party Affiliation,Total,Total,51,0
15,NE,31055,Female,22-29,Caucasian,Other/Unknown,Total,Total,11,0
15,NE,31055,Female,22-29,Caucasian,Republican,Total,Total,28,0
15,NE,31055,Female,22-29,Hispanic,Democrat,Total,Total,9,0
15,NE,31055,Female,22-29,Hispanic,No Party Affiliation,Total,Total,6,0
15,NE,31055,Female,22-29,Hispanic,Other/Unknown,Total,Total,2,0
15,NE,31055,Female,22-29,Hispanic,Republican,Total,Total,3,0
15,NE,31055,Female,22-29,Other,No Party Affiliation,Total,Total,2,0
15,NE,31055,Female,30-39,Asian,Democrat,Total,Total,2,0
15,NE,31055,Female,30-39,Asian,Other/Unknown,Total,Total,1,0
15,NE,31055,Female,30-39,Black,Democrat,Total,Total,21,0
15,NE,31055,Female,30-39,Black,No Party Affiliation,Total,Total,11,0
15,NE,31055,Female,30-39,Black,Republican,Total,Total,5,0
15,NE,31055,Female,30-39,Caucasian,Democrat,Total,Total,74,0
15,NE,31055,Female,30-39,Caucasian,No Party Affiliation,Total,Total,58,0
15,NE,31055,Female,30-39,Caucasian,Other/Unknown,Total,Total,5,0
15,NE,31055,Female,30-39,Caucasian,Republican,Total,Total,60,0
15,NE,31055,Female,30-39,Hispanic,Democrat,Total,Total,12,0
15,NE,31055,Female,30-39,Hispanic,No Party Affiliation,Total,Total,3,0
15,NE,31055,Female,30-39,Hispanic,Republican,Total,Total,3,0
15,NE,31055,Female,30-39,Other,Democrat,Total,Total,2,0
15,NE,31055,Female,40-49,Asian,Other/Unknown,Total,Total,1,0
15,NE,31055,Female,40-49,Black,Democrat,Total,Total,26,0
15,NE,31055,Female,40-49,Black,No Party Affiliation,Total,Total,6,0
15,NE,31055,Female,40-49,Black,Other/Unknown,Total,Total,3,0
15,NE,31055,Female,40-49,Black,Republican,Total,Total,1,0
15,NE,31055,Female,40-49,Caucasian,Democrat,Total,Total,55,0
15,NE,31055,Female,40-49,Caucasian,No Party Affiliation,Total,Total,43,0
15,NE,31055,Female,40-49,Caucasian,Other/Unknown,Total,Total,11,0
15,NE,31055,Female,40-49,Caucasian,Republican,Total,Total,47,0
15,NE,31055,Female,40-49,Hispanic,Democrat,Total,Total,5,0
15,NE,31055,Female,40-49,Hispanic,No Party Affiliation,Total,Total,2,0
15,NE,31055,Female,40-49,Hispanic,Republican,Total,Total,1,0
15,NE,31055,Female,40-49,Other,Republican,Total,Total,2,0
15,NE,31055,Female,50-64,Asian,Democrat,Total,Total,1,0
15,NE,31055,Female,50-64,Asian,No Party Affiliation,Total,Total,2,0
15,NE,31055,Female,50-64,Black,Democrat,Total,Total,24,0
15,NE,31055,Female,50-64,Black,No Party Affiliation,Total,Total,3,0
15,NE,31055,Female,50-64,Black,Republican,Total,Total,8,0
15,NE,31055,Female,50-64,Caucasian,Democrat,Total,Total,76,0
15,NE,31055,Female,50-64,Caucasian,No Party Affiliation,Total,Total,46,0
15,NE,31055,Female,50-64,Caucasian,Other/Unknown,Total,Total,9,0
15,NE,31055,Female,50-64,Caucasian,Republican,Total,Total,122,0
15,NE,31055,Female,50-64,Hispanic,Democrat,Total,Total,4,0
15,NE,31055,Female,50-64,Hispanic,No Party Affiliation,Total,Total,2,0
15,NE,31055,Female,50-64,Hispanic,Republican,Total,Total,3,0
15,NE,31055,Female,50-64,Other,Democrat,Total,Total,1,0
15,NE,31055,Female,50-64,Other,Republican,Total,Total,1,0
15,NE,31055,Female,65+,Asian,No Party Affiliation,Total,Total,1,0
15,NE,31055,Female,65+,Asian,Republican,Total,Total,2,0
15,NE,31055,Female,65+,Black,Democrat,Total,Total,11,0
15,NE,31055,Female,65+,Black,No Party Affiliation,Total,Total,2,0
15,NE,31055,Female,65+,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Female,65+,Black,Republican,Total,Total,2,0
15,NE,31055,Female,65+,Caucasian,Democrat,Total,Total,44,0
15,NE,31055,Female,65+,Caucasian,No Party Affiliation,Total,Total,19,0
15,NE,31055,Female,65+,Caucasian,Other/Unknown,Total,Total,9,0
15,NE,31055,Female,65+,Caucasian,Republican,Total,Total,85,0
15,NE,31055,Female,65+,Hispanic,Democrat,Total,Total,4,0
15,NE,31055,Female,65+,Hispanic,No Party Affiliation,Total,Total,1,0
15,NE,31055,Female,Unknown,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Female,Unknown,Caucasian,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,18-21,Asian,Democrat,Total,Total,2,0
15,NE,31055,Male,18-21,Asian,Republican,Total,Total,2,0
15,NE,31055,Male,18-21,Black,Democrat,Total,Total,3,0
15,NE,31055,Male,18-21,Black,No Party Affiliation,Total,Total,1,0
15,NE,31055,Male,18-21,Caucasian,Democrat,Total,Total,13,0
15,NE,31055,Male,18-21,Caucasian,No Party Affiliation,Total,Total,13,0
15,NE,31055,Male,18-21,Caucasian,Other/Unknown,Total,Total,4,0
15,NE,31055,Male,18-21,Caucasian,Republican,Total,Total,20,0
15,NE,31055,Male,18-21,Hispanic,No Party Affiliation,Total,Total,1,0
15,NE,31055,Male,18-21,Hispanic,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,18-21,Hispanic,Republican,Total,Total,1,0
15,NE,31055,Male,18-21,Other,No Party Affiliation,Total,Total,2,0
15,NE,31055,Male,18-21,Other,Republican,Total,Total,1,0
15,NE,31055,Male,22-29,Asian,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,22-29,Black,Democrat,Total,Total,4,0
15,NE,31055,Male,22-29,Black,No Party Affiliation,Total,Total,3,0
15,NE,31055,Male,22-29,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,22-29,Black,Republican,Total,Total,1,0
15,NE,31055,Male,22-29,Caucasian,Democrat,Total,Total,49,0
15,NE,31055,Male,22-29,Caucasian,No Party Affiliation,Total,Total,47,0
15,NE,31055,Male,22-29,Caucasian,Other/Unknown,Total,Total,6,0
15,NE,31055,Male,22-29,Caucasian,Republican,Total,Total,41,0
15,NE,31055,Male,22-29,Hispanic,Democrat,Total,Total,6,0
15,NE,31055,Male,22-29,Hispanic,No Party Affiliation,Total,Total,6,0
15,NE,31055,Male,22-29,Hispanic,Republican,Total,Total,1,0
15,NE,31055,Male,22-29,Other,Republican,Total,Total,1,0
15,NE,31055,Male,30-39,Asian,Democrat,Total,Total,2,0
15,NE,31055,Male,30-39,Black,Democrat,Total,Total,14,0
15,NE,31055,Male,30-39,Black,No Party Affiliation,Total,Total,5,0
15,NE,31055,Male,30-39,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,30-39,Caucasian,Democrat,Total,Total,55,0
15,NE,31055,Male,30-39,Caucasian,No Party Affiliation,Total,Total,59,0
15,NE,31055,Male,30-39,Caucasian,Other/Unknown,Total,Total,8,0
15,NE,31055,Male,30-39,Caucasian,Republican,Total,Total,49,0
15,NE,31055,Male,30-39,Hispanic,Democrat,Total,Total,2,0
15,NE,31055,Male,30-39,Hispanic,No Party Affiliation,Total,Total,3,0
15,NE,31055,Male,30-39,Hispanic,Republican,Total,Total,3,0
15,NE,31055,Male,30-39,Other,No Party Affiliation,Total,Total,1,0
15,NE,31055,Male,40-49,Asian,Democrat,Total,Total,1,0
15,NE,31055,Male,40-49,Black,Democrat,Total,Total,11,0
15,NE,31055,Male,40-49,Black,No Party Affiliation,Total,Total,5,0
15,NE,31055,Male,40-49,Caucasian,Democrat,Total,Total,37,0
15,NE,31055,Male,40-49,Caucasian,No Party Affiliation,Total,Total,45,0
15,NE,31055,Male,40-49,Caucasian,Other/Unknown,Total,Total,11,0
15,NE,31055,Male,40-49,Caucasian,Republican,Total,Total,37,0
15,NE,31055,Male,40-49,Hispanic,Democrat,Total,Total,1,0
15,NE,31055,Male,40-49,Hispanic,No Party Affiliation,Total,Total,3,0
15,NE,31055,Male,40-49,Hispanic,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,40-49,Hispanic,Republican,Total,Total,1,0
15,NE,31055,Male,50-64,Asian,No Party Affiliation,Total,Total,1,0
15,NE,31055,Male,50-64,Asian,Republican,Total,Total,1,0
15,NE,31055,Male,50-64,Black,Democrat,Total,Total,20,0
15,NE,31055,Male,50-64,Black,No Party Affiliation,Total,Total,1,0
15,NE,31055,Male,50-64,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,50-64,Black,Republican,Total,Total,1,0
15,NE,31055,Male,50-64,Caucasian,Democrat,Total,Total,41,0
15,NE,31055,Male,50-64,Caucasian,No Party Affiliation,Total,Total,34,0
15,NE,31055,Male,50-64,Caucasian,Other/Unknown,Total,Total,6,0
15,NE,31055,Male,50-64,Caucasian,Republican,Total,Total,118,0
15,NE,31055,Male,50-64,Hispanic,Democrat,Total,Total,2,0
15,NE,31055,Male,50-64,Hispanic,No Party Affiliation,Total,Total,1,0
15,NE,31055,Male,50-64,Hispanic,Other/Unknown,Total,Total,2,0
15,NE,31055,Male,50-64,Hispanic,Republican,Total,Total,4,0
15,NE,31055,Male,50-64,Other,No Party Affiliation,Total,Total,1,0
15,NE,31055,Male,50-64,Other,Republican,Total,Total,1,0
15,NE,31055,Male,65+,Black,Democrat,Total,Total,5,0
15,NE,31055,Male,65+,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,65+,Caucasian,Democrat,Total,Total,33,0
15,NE,31055,Male,65+,Caucasian,No Party Affiliation,Total,Total,13,0
15,NE,31055,Male,65+,Caucasian,Other/Unknown,Total,Total,6,0
15,NE,31055,Male,65+,Caucasian,Republican,Total,Total,49,0
15,NE,31055,Male,65+,Hispanic,Democrat,Total,Total,2,0
15,NE,31055,Male,65+,Hispanic,No Party Affiliation,Total,Total,3,0
15,NE,31055,Male,65+,Hispanic,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,65+,Hispanic,Republican,Total,Total,1,0
15,NE,31055,Male,Unknown,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Male,Unknown,Caucasian,Other/Unknown,Total,Total,1,0
15,NE,31055,Unknown,18-21,Asian,No Party Affiliation,Total,Total,1,0
15,NE,31055,Unknown,18-21,Asian,Other/Unknown,Total,Total,1,0
15,NE,31055,Unknown,18-21,Asian,Republican,Total,Total,1,0
15,NE,31055,Unknown,18-21,Black,Democrat,Total,Total,5,0
15,NE,31055,Unknown,18-21,Black,No Party Affiliation,Total,Total,2,0
15,NE,31055,Unknown,18-21,Caucasian,Democrat,Total,Total,5,0
15,NE,31055,Unknown,18-21,Caucasian,No Party Affiliation,Total,Total,2,0
15,NE,31055,Unknown,18-21,Caucasian,Republican,Total,Total,2,0
15,NE,31055,Unknown,18-21,Hispanic,No Party Affiliation,Total,Total,2,0
15,NE,31055,Unknown,18-21,Other,Republican,Total,Total,1,0
15,NE,31055,Unknown,22-29,Black,Democrat,Total,Total,1,0
15,NE,31055,Unknown,22-29,Black,No Party Affiliation,Total,Total,1,0
15,NE,31055,Unknown,22-29,Caucasian,Democrat,Total,Total,5,0
15,NE,31055,Unknown,22-29,Caucasian,No Party Affiliation,Total,Total,3,0
15,NE,31055,Unknown,22-29,Caucasian,Republican,Total,Total,1,0
15,NE,31055,Unknown,22-29,Hispanic,No Party Affiliation,Total,Total,2,0
15,NE,31055,Unknown,22-29,Other,Democrat,Total,Total,1,0
15,NE,31055,Unknown,30-39,Asian,Democrat,Total,Total,1,0
15,NE,31055,Unknown,30-39,Black,Democrat,Total,Total,2,0
15,NE,31055,Unknown,30-39,Black,No Party Affiliation,Total,Total,2,0
15,NE,31055,Unknown,30-39,Caucasian,Democrat,Total,Total,1,0
15,NE,31055,Unknown,30-39,Caucasian,No Party Affiliation,Total,Total,2,0
15,NE,31055,Unknown,30-39,Hispanic,Democrat,Total,Total,1,0
15,NE,31055,Unknown,40-49,Asian,Democrat,Total,Total,1,0
15,NE,31055,Unknown,40-49,Asian,Other/Unknown,Total,Total,1,0
15,NE,31055,Unknown,40-49,Black,Democrat,Total,Total,2,0
15,NE,31055,Unknown,50-64,Asian,Democrat,Total,Total,1,0
15,NE,31055,Unknown,50-64,Caucasian,Republican,Total,Total,1,0
15,NE,31055,Unknown,50-64,Hispanic,Republican,Total,Total,1,0
15,NE,31055,Unknown,65+,Black,Other/Unknown,Total,Total,1,0
15,NE,31055,Unknown,Unknown,Asian,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,18-21,Asian,No Party Affiliation,Total,Total,1,0
18,NE,31055,Female,18-21,Black,Democrat,Total,Total,3,0
18,NE,31055,Female,18-21,Black,No Party Affiliation,Total,Total,1,0
18,NE,31055,Female,18-21,Black,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,18-21,Caucasian,Democrat,Total,Total,13,0
18,NE,31055,Female,18-21,Caucasian,No Party Affiliation,Total,Total,16,0
18,NE,31055,Female,18-21,Caucasian,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,18-21,Caucasian,Republican,Total,Total,11,0
18,NE,31055,Female,18-21,Hispanic,Democrat,Total,Total,6,0
18,NE,31055,Female,18-21,Hispanic,No Party Affiliation,Total,Total,1,0
18,NE,31055,Female,22-29,Asian,Democrat,Total,Total,3,0
18,NE,31055,Female,22-29,Asian,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,22-29,Asian,Republican,Total,Total,1,0
18,NE,31055,Female,22-29,Black,Democrat,Total,Total,9,0
18,NE,31055,Female,22-29,Black,No Party Affiliation,Total,Total,2,0
18,NE,31055,Female,22-29,Black,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,22-29,Black,Republican,Total,Total,2,0
18,NE,31055,Female,22-29,Caucasian,Democrat,Total,Total,54,0
18,NE,31055,Female,22-29,Caucasian,No Party Affiliation,Total,Total,24,0
18,NE,31055,Female,22-29,Caucasian,Other/Unknown,Total,Total,2,0
18,NE,31055,Female,22-29,Caucasian,Republican,Total,Total,22,0
18,NE,31055,Female,22-29,Hispanic,Democrat,Total,Total,9,0
18,NE,31055,Female,22-29,Hispanic,No Party Affiliation,Total,Total,3,0
18,NE,31055,Female,22-29,Hispanic,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,22-29,Hispanic,Republican,Total,Total,1,0
18,NE,31055,Female,22-29,Other,Democrat,Total,Total,1,0
18,NE,31055,Female,22-29,Other,No Party Affiliation,Total,Total,1,0
18,NE,31055,Female,30-39,Asian,No Party Affiliation,Total,Total,1,0
18,NE,31055,Female,30-39,Black,Democrat,Total,Total,26,0
18,NE,31055,Female,30-39,Black,No Party Affiliation,Total,Total,5,0
18,NE,31055,Female,30-39,Caucasian,Democrat,Total,Total,72,0
18,NE,31055,Female,30-39,Caucasian,No Party Affiliation,Total,Total,50,0
18,NE,31055,Female,30-39,Caucasian,Other/Unknown,Total,Total,4,0
18,NE,31055,Female,30-39,Caucasian,Republican,Total,Total,47,0
18,NE,31055,Female,30-39,Hispanic,Democrat,Total,Total,7,0
18,NE,31055,Female,30-39,Hispanic,No Party Affiliation,Total,Total,3,0
18,NE,31055,Female,30-39,Hispanic,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,30-39,Hispanic,Republican,Total,Total,2,0
18,NE,31055,Female,30-39,Other,Democrat,Total,Total,2,0
18,NE,31055,Female,30-39,Other,No Party Affiliation,Total,Total,1,0
18,NE,31055,Female,40-49,Asian,Democrat,Total,Total,3,0
18,NE,31055,Female,40-49,Asian,No Party Affiliation,Total,Total,2,0
18,NE,31055,Female,40-49,Asian,Republican,Total,Total,2,0
18,NE,31055,Female,40-49,Black,Democrat,Total,Total,10,0
18,NE,31055,Female,40-49,Black,No Party Affiliation,Total,Total,3,0
18,NE,31055,Female,40-49,Black,Republican,Total,Total,4,0
18,NE,31055,Female,40-49,Caucasian,Democrat,Total,Total,52,0
18,NE,31055,Female,40-49,Caucasian,No Party Affiliation,Total,Total,28,0
18,NE,31055,Female,40-49,Caucasian,Other/Unknown,Total,Total,5,0
18,NE,31055,Female,40-49,Caucasian,Republican,Total,Total,40,0
18,NE,31055,Female,40-49,Hispanic,Democrat,Total,Total,4,0
18,NE,31055,Female,40-49,Hispanic,No Party Affiliation,Total,Total,2,0
18,NE,31055,Female,40-49,Hispanic,Republican,Total,Total,1,0
18,NE,31055,Female,40-49,Other,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,50-64,Asian,Democrat,Total,Total,1,0
18,NE,31055,Female,50-64,Black,Democrat,Total,Total,24,0
18,NE,31055,Female,50-64,Black,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,50-64,Black,Republican,Total,Total,2,0
18,NE,31055,Female,50-64,Caucasian,Democrat,Total,Total,56,0
18,NE,31055,Female,50-64,Caucasian,No Party Affiliation,Total,Total,29,0
18,NE,31055,Female,50-64,Caucasian,Other/Unknown,Total,Total,6,0
18,NE,31055,Female,50-64,Caucasian,Republican,Total,Total,68,0
18,NE,31055,Female,50-64,Hispanic,Democrat,Total,Total,4,0
18,NE,31055,Female,50-64,Hispanic,No Party Affiliation,Total,Total,1,0
18,NE,31055,Female,50-64,Other,Republican,Total,Total,1,0
18,NE,31055,Female,65+,Asian,No Party Affiliation,Total,Total,1,0
18,NE,31055,Female,65+,Asian,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,65+,Black,Democrat,Total,Total,10,0
18,NE,31055,Female,65+,Black,Republican,Total,Total,2,0
18,NE,31055,Female,65+,Caucasian,Democrat,Total,Total,40,0
18,NE,31055,Female,65+,Caucasian,No Party Affiliation,Total,Total,19,0
18,NE,31055,Female,65+,Caucasian,Other/Unknown,Total,Total,3,0
18,NE,31055,Female,65+,Caucasian,Republican,Total,Total,75,0
18,NE,31055,Female,65+,Hispanic,Democrat,Total,Total,4,0
18,NE,31055,Female,65+,Hispanic,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,Unknown,Asian,Other/Unknown,Total,Total,1,0
18,NE,31055,Female,Unknown,Caucasian,Other/Unknown,Total,Total,2,0
18,NE,31055,Male,18-21,Asian,No Party Affiliation,Total,Total,1,0
18,NE,31055,Male,18-21,Asian,Republican,Total,Total,1,0
18,NE,31055,Male,18-21,Black,Democrat,Total,Total,2,0
18,NE,31055,Male,18-21,Black,No Party Affiliation,Total,Total,2,0
18,NE,31055,Male,18-21,Caucasian,Democrat,Total,Total,8,0
18,NE,31055,Male,18-21,Caucasian,No Party Affiliation,Total,Total,16,0
18,NE,31055,Male,18-21,Caucasian,Republican,Total,Total,14,0
18,NE,31055,Male,18-21,Hispanic,Democrat,Total,Total,4,0
18,NE,31055,Male,18-21,Hispanic,No Party Affiliation,Total,Total,2,0
18,NE,31055,Male,18-21,Hispanic,Republican,Total,Total,1,0
18,NE,31055,Male,22-29,Black,Democrat,Total,Total,4,0
18,NE,31055,Male,22-29,Black,No Party Affiliation,Total,Total,2,0
18,NE,31055,Male,22-29,Black,Other/Unknown,Total,Total,1,0
18,NE,31055,Male,22-29,Black,Republican,Total,Total,5,0
18,NE,31055,Male,22-29,Caucasian,Democrat,Total,Total,29,0
18,NE,31055,Male,22-29,Caucasian,No Party Affiliation,Total,Total,29,0
18,NE,31055,Male,22-29,Caucasian,Other/Unknown,Total,Total,2,0
18,NE,31055,Male,22-29,Caucasian,Republican,Total,Total,25,0
18,NE,31055,Male,22-29,Hispanic,Democrat,Total,Total,4,0
18,NE,31055,Male,22-29,Hispanic,No Party Affiliation,Total,Total,6,0
18,NE,31055,Male,22-29,Hispanic,Republican,Total,Total,3,0
18,NE,31055,Male,22-29,Other,No Party Affiliation,Total,Total,1,0
18,NE,31055,Male,30-39,Asian,Democrat,Total,Total,5,0
18,NE,31055,Male,30-39,Black,Democrat,Total,Total,8,0
18,NE,31055,Male,30-39,Black,No Party Affiliation,Total,Total,7,0
18,NE,31055,Male,30-39,Black,Other/Unknown,Total,Total,2,0
18,NE,31055,Male,30-39,Black,Republican,Total,Total,1,0
18,NE,31055,Male,30-39,Caucasian,Democrat,Total,Total,41,0
18,NE,31055,Male,30-39,Caucasian,No Party Affiliation,Total,Total,53,0
18,NE,31055,Male,30-39,Caucasian,Other/Unknown,Total,Total,7,0
18,NE,31055,Male,30-39,Caucasian,Republican,Total,Total,28,0
18,NE,31055,Male,30-39,Hispanic,Democrat,Total,Total,6,0
18,NE,31055,Male,30-39,Hispanic,No Party Affiliation,Total,Total,2,0
18,NE,31055,Male,30-39,Other,Other/Unknown,Total,Total,1,0
18,NE,31055,Male,30-39,Other,Republican,Total,Total,2,0
18,NE,31055,Male,40-49,Asian,No Party Affiliation,Total,Total,1,0
18,NE,31055,Male,40-49,Asian,Republican,Total,Total,1,0
18,NE,31055,Male,40-49,Black,Democrat,Total,Total,8,0
18,NE,31055,Male,40-49,Black,No Party Affiliation,Total,Total,4,0
18,NE,31055,Male,40-49,Black,Republican,Total,Total,1,0
18,NE,31055,Male,40-49,Caucasian,Democrat,Total,Total,39,0
18,NE,31055,Male,40-49,Caucasian,No Party Affiliation,Total,Total,30,0
18,NE,31055,Male,40-49,Caucasian,Other/Unknown,Total,Total,7,0
18,NE,31055,Male,40-49,Caucasian,Republican,Total,Total,36,0
18,NE,31055,Male,40-49,Hispanic,Democrat,Total,Total,3,0
18,NE,31055,Male,40-49,Hispanic,No Party Affiliation,Total,Total,3,0
18,NE,31055,Male,40-49,Other,No Party Affiliation,Total,Total,1,0
18,NE,31055,Male,50-64,Asian,Democrat,Total,Total,2,0
18,NE,31055,Male,50-64,Asian,No Party Affiliation,Total,Total,3,0
18,NE,31055,Male,50-64,Black,Democrat,Total,Total,7,0
18,NE,31055,Male,50-64,Black,No Party Affiliation,Total,Total,1,0
18,NE,31055,Male,50-64,Black,Republican,Total,Total,5,0
18,NE,31055,Male,50-64,Caucasian,Democrat,Total,Total,32,0
18,NE,31055,Male,50-64,Caucasian,No Party Affiliation,Total,Total,29,0
18,NE,31055,Male,50-64,Caucasian,Other/Unknown,Total,Total,6,0
18,NE,31055,Male,50-64,Caucasian,Republican,Total,Total,80,0
18,NE,31055,Male,50-64,Hispanic,Democrat,Total,Total,7,0
18,NE,31055,Male,50-64,Hispanic,No Party Affiliation,Total,Total,3,0
18,NE,31055,Male,50-64,Hispanic,Republican,Total,Total,2,0
18,NE,31055,Male,50-64,Other,Democrat,Total,Total,1,0
18,NE,31055,Male,65+,Black,Democrat,Total,Total,3,0
18,NE,31055,Male,65+,Black,No Party Affiliation,Total,Total,1,0
18,NE,31055,Male,65+,Black,Other/Unknown,Total,Total,1,0
18,NE,31055,Male,65+,Black,Republican,Total,Total,3,0
18,NE,31055,Male,65+,Caucasian,Democrat,Total,Total,20,0
18,NE,31055,Male,65+,Caucasian,No Party Affiliation,Total,Total,10,0
18,NE,31055,Male,65+,Caucasian,Other/Unknown,Total,Total,5,0
18,NE,31055,Male,65+,Caucasian,Republican,Total,Total,45,0
18,NE,31055,Male,65+,Hispanic,Democrat,Total,Total,7,0
18,NE,31055,Male,Unknown,Caucasian,Other/Unknown,Total,Total,1,0
18,NE,31055,Male,Unknown,Hispanic,Other/Unknown,Total,Total,1,0
18,NE,31055,Unknown,18-21,Black,Democrat,Total,Total,1,0
18,NE,31055,Unknown,18-21,Black,No Party Affiliation,Total,Total,1,0
18,NE,31055,Unknown,18-21,Black,Other/Unknown,Total,Total,1,0
18,NE,31055,Unknown,18-21,Caucasian,Democrat,Total,Total,2,0
18,NE,31055,Unknown,18-21,Caucasian,No Party Affiliation,Total,Total,4,0
18,NE,31055,Unknown,18-21,Other,Democrat,Total,Total,1,0
18,NE,31055,Unknown,22-29,Asian,Democrat,Total,Total,1,0
18,NE,31055,Unknown,22-29,Black,Democrat,Total,Total,2,0
18,NE,31055,Unknown,22-29,Black,No Party Affiliation,Total,Total,1,0
18,NE,31055,Unknown,22-29,Caucasian,Democrat,Total,Total,3,0
18,NE,31055,Unknown,22-29,Caucasian,No Party Affiliation,Total,Total,2,0
18,NE,31055,Unknown,22-29,Caucasian,Other/Unknown,Total,Total,2,0
18,NE,31055,Unknown,22-29,Caucasian,Republican,Total,Total,4,0
18,NE,31055,Unknown,30-39,Asian,Other/Unknown,Total,Total,1,0
18,NE,31055,Unknown,30-39,Black,No Party Affiliation,Total,Total,1,0
18,NE,31055,Unknown,30-39,Black,Republican,Total,Total,1,0
18,NE,31055,Unknown,30-39,Caucasian,Democrat,Total,Total,1,0
18,NE,31055,Unknown,30-39,Caucasian,No Party Affiliation,Total,Total,2,0
18,NE,31055,Unknown,30-39,Caucasian,Republican,Total,Total,1,0
18,NE,31055,Unknown,40-49,Caucasian,Democrat,Total,Total,2,0
18,NE,31055,Unknown,40-49,Caucasian,Republican,Total,Total,1,0
18,NE,31055,Unknown,40-49,Hispanic,No Party Affiliation,Total,Total,1,0
18,NE,31055,Unknown,50-64,Caucasian,Democrat,Total,Total,3,0
18,NE,31055,Unknown,50-64,Hispanic,Republican,Total,Total,1,0
18,NE,31055,Unknown,65+,Hispanic,Republican,Total,Total,1,0
18,NE,31055,Unknown,65+,Other,No Party Affiliation,Total,Total,1,0
19,NE,31055,Female,18-21,Asian,Democrat,Total,Total,1,0
19,NE,31055,Female,18-21,Asian,No Party Affiliation,Total,Total,1,0
19,NE,31055,Female,18-21,Black,Democrat,Total,Total,5,2
19,NE,31055,Female,18-21,Black,Republican,Total,Total,1,0
19,NE,31055,Female,18-21,Caucasian,Democrat,Total,Total,39,37
19,NE,31055,Female,18-21,Caucasian,No Party Affiliation,Total,Total,24,12
19,NE,31055,Female,18-21,Caucasian,Other/Unknown,Total,Total,3,0
19,NE,31055,Female,18-21,Caucasian,Republican,Total,Total,9,13
19,NE,31055,Female,18-21,Hispanic,Democrat,Total,Total,6,4
19,NE,31055,Female,18-21,Hispanic,No Party Affiliation,Total,Total,3,2
19,NE,31055,Female,18-21,Hispanic,Republican,Total,Total,1,0
19,NE,31055,Female,18-21,Other,No Party Affiliation,Total,Total,1,0
19,NE,31055,Female,18-21,Other,Republican,Total,Total,0,1
19,NE,31055,Female,22-29,Asian,Democrat,Total,Total,1,4
19,NE,31055,Female,22-29,Asian,No Party Affiliation,Total,Total,3,0
19,NE,31055,Female,22-29,Asian,Republican,Total,Total,2,0
19,NE,31055,Female,22-29,Black,Democrat,Total,Total,12,13
19,NE,31055,Female,22-29,Black,No Party Affiliation,Total,Total,5,2
19,NE,31055,Female,22-29,Black,Other/Unknown,Total,Total,1,0
19,NE,31055,Female,22-29,Black,Republican,Total,Total,3,4
19,NE,31055,Female,22-29,Caucasian,Democrat,Total,Total,89,79
